"ID";"Name";"Email";"Age";"Balance";"Risk"
44;"Dev";"dev44@mail.com";44;227625.59;"High"
45;"Rohan";"rohan45@mail.com";28;198224.46;"High"
46;"Ansh";"ansh46@mail.com";25;364325.81;"Low"
47;"Om";"om47@mail.com";29;462283.13;"Low"
48;"Harsh";"harsh48@mail.com";48;189091.51;"High"
49;"Darsh";"darsh49@mail.com";39;419826.87;"High"
50;"Veer";"veer50@mail.com";44;271862.4;"Medium"
51;"Atharv";"atharv51@mail.com";39;484039.03;"High"
52;"Om";"om52@mail.com";34;422303.95;"Medium"
53;"Kartik";"kartik53@mail.com";33;465233.54;"Medium"
54;"Samarth";"samarth54@mail.com";44;216831.03;"Low"
55;"Reyansh";"reyansh55@mail.com";46;364474.42;"High"
56;"Pranav";"pranav56@mail.com";19;294045.15;"High"
57;"Rudra";"rudra57@mail.com";20;445948.12;"High"
58;"Ayaan";"ayaan58@mail.com";31;153865.91;"High"
59;"Kartik";"kartik59@mail.com";37;203555.32;"Low"
60;"Ishaan";"ishaan60@mail.com";36;429173.56;"High"
61;"Rohan";"rohan61@mail.com";18;332301.32;"High"
62;"Vivaan";"vivaan62@mail.com";41;403544.45;"Medium"
63;"Krishna";"krishna63@mail.com";32;274794.11;"High"
64;"Dev";"dev64@mail.com";24;178225.64;"High"
65;"Ronit";"ronit65@mail.com";32;464776.16;"Low"
66;"Ishaan";"ishaan66@mail.com";36;282786.16;"Medium"
67;"Arjun";"arjun67@mail.com";31;373255.78;"Medium"
68;"Vivaan";"vivaan68@mail.com";46;401884.49;"High"
69;"Ronit";"ronit69@mail.com";38;177615.98;"Low"
70;"Laksh";"laksh70@mail.com";18;419514.18;"High"
71;"Vivansh";"vivansh71@mail.com";32;361117.19;"Medium"
72;"Nivaan";"nivaan72@mail.com";48;458486.1;"Low"
73;"Jay";"jay73@mail.com";49;487988.91;"Medium"
74;"Kabir";"kabir74@mail.com";36;335823.28;"Low"
75;"Atharv";"atharv75@mail.com";44;476858.96;"Medium"
76;"Yuvraj";"yuvraj76@mail.com";30;462741.88;"High"
77;"Vivaan";"vivaan77@mail.com";29;404339.97;"Medium"
78;"Laksh";"laksh78@mail.com";49;478832.45;"Medium"
79;"Reyansh";"reyansh79@mail.com";28;211686.67;"Low"
80;"Kartik";"kartik80@mail.com";21;467808.96;"Low"
81;"Anirudh";"anirudh81@mail.com";31;321238.37;"Low"
82;"Jay";"jay82@mail.com";43;225116.67;"Medium"
83;"Yuvraj";"yuvraj83@mail.com";28;328604.45;"High"
84;"Om";"om84@mail.com";48;384689.53;"Low"
85;"Moksh";"moksh85@mail.com";18;302426.18;"High"
86;"Harsh";"harsh86@mail.com";43;476593.95;"Low"
87;"Aryan";"aryan87@mail.com";48;371180.38;"Low"
88;"Kartik";"kartik88@mail.com";31;390680.0;"Medium"
89;"Chirag";"chirag89@mail.com";26;445265.25;"High"
90;"Atharv";"atharv90@mail.com";25;284007.49;"Low"
91;"Vivaan";"vivaan91@mail.com";20;231984.15;"High"
92;"Rudra";"rudra92@mail.com";46;368720.14;"High"
93;"Samarth";"samarth93@mail.com";41;264502.59;"Medium"
94;"Dhruv";"dhruv94@mail.com";26;393156.23;"High"
95;"Rohan";"rohan95@mail.com";34;163053.73;"Medium"
96;"Ronit";"ronit96@mail.com";34;469199.56;"Low"
97;"Tanmay";"tanmay97@mail.com";42;189989.31;"Medium"
98;"Aarav";"aarav98@mail.com";45;381000.41;"Low"
99;"Rudra";"rudra99@mail.com";45;459126.89;"Medium"
100;"Darsh";"darsh100@mail.com";50;459802.58;"Low"
